                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6577,                 2.8647,                 2.1477,                 0.9588,                0.95956,                0.98809,                0.50511,                 3.5873,                 2.4199,                 4.8582,              0.0033185,              0.0033185,              0.0033185
                      2,                 1.2585,                 1.6128,                 1.7499,                0.95425,                 0.9489,                0.98716,                0.64087,                  3.352,                  2.712,                 3.9847,              0.0066189,              0.0066189,              0.0066189
                      3,                 1.2292,                 1.4239,                  1.713,                 0.4715,                0.86329,                0.62932,                0.37831,                 3.6755,                 2.8912,                 5.4092,              0.0098863,              0.0098863,              0.0098863
                      4,                 1.2226,                 1.2381,                 1.6996,                0.96823,                0.94271,                0.98568,                0.64027,                 3.5068,                 1.6778,                 5.3648,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2075,                 1.0656,                 1.6788,                0.85029,                0.90377,                0.95001,                0.61349,                 3.5667,                  1.649,                  5.546,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1771,                0.94604,                 1.6571,                0.98878,                0.97893,                0.99245,                0.67019,                 3.5092,                 1.5329,                 5.2723,               0.009802,               0.009802,               0.009802
                      7,                 1.1512,                0.86705,                 1.6261,                0.96956,                0.85208,                0.94825,                0.52902,                 3.6351,                  1.962,                 5.9009,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1181,                0.80383,                 1.6003,                0.99774,                0.98953,                0.99486,                0.71334,                 3.3593,                 1.1009,                 4.8576,               0.009703,               0.009703,               0.009703
                      9,                 1.1034,                 0.7632,                 1.5889,                0.99818,                0.98518,                0.99481,                0.71702,                  3.434,                 1.5987,                 6.0331,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1001,                 0.7457,                 1.5885,                0.95928,                0.96862,                   0.99,                0.70507,                 3.3527,                 1.5554,                 5.4692,               0.009604,               0.009604,               0.009604
                     11,                 1.0803,                0.72791,                 1.5782,                0.99761,                0.99552,                  0.995,                0.70611,                 3.4423,                 1.2509,                 5.4974,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0725,                0.70486,                 1.5722,                 0.9991,                0.99951,                  0.995,                 0.7209,                 3.3268,                 1.0377,                 5.3439,               0.009505,               0.009505,               0.009505
                     13,                 1.0645,                0.68627,                 1.5556,                0.98828,                0.96638,                0.98909,                0.73344,                 3.3265,                 1.0518,                 5.0169,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.0492,                0.67927,                 1.5454,                 0.9954,                0.96971,                0.99207,                0.72862,                  3.381,                 1.6617,                 5.2512,               0.009406,               0.009406,               0.009406
                     15,                 1.0354,                0.66834,                 1.5333,                0.96658,                0.97535,                0.99241,                0.73679,                 3.3867,                 1.4361,                    5.6,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.014,                0.64149,                 1.5188,                      1,                0.99204,                  0.995,                0.71616,                   3.36,                 1.5829,                 5.1325,               0.009307,               0.009307,               0.009307
                     17,                 1.0107,                0.63724,                  1.511,                0.98796,                0.99193,                0.99488,                0.76525,                 3.3289,                 1.5687,                 5.0606,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0073,                  0.622,                 1.5167,                0.99955,                0.99821,                  0.995,                0.71228,                 3.3405,                 1.3852,                 5.2828,               0.009208,               0.009208,               0.009208
                     19,                 1.0019,                0.61711,                 1.5078,                      1,                0.99663,                  0.995,                0.74226,                 3.3727,                 1.3785,                 5.0349,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0018,                0.62607,                 1.5077,                0.99884,                0.99866,                  0.995,                0.74598,                  3.345,                 1.3381,                 4.8354,               0.009109,               0.009109,               0.009109
                     21,                 1.0009,                0.62529,                 1.5034,                 0.9991,                0.99132,                0.99499,                  0.749,                 3.3563,                 1.6664,                 6.0879,              0.0090595,              0.0090595,              0.0090595
                     22,                0.98347,                0.61545,                 1.4882,                      1,                0.99844,                  0.995,                0.77418,                 3.3029,                  1.296,                 5.4125,                0.00901,                0.00901,                0.00901
                     23,                0.96543,                0.60576,                 1.4782,                0.99865,                0.99492,                0.99499,                 0.7868,                 3.3161,                 1.2293,                 5.6997,              0.0089605,              0.0089605,              0.0089605
                     24,                0.96993,                0.58558,                 1.4867,                      1,                0.99542,                  0.995,                0.73435,                 3.2896,                 1.1926,                 5.2808,               0.008911,               0.008911,               0.008911
                     25,                0.97076,                0.59428,                 1.4836,                0.99861,                0.99148,                0.99499,                0.74818,                 3.3578,                 1.4251,                 5.6485,              0.0088615,              0.0088615,              0.0088615
                     26,                0.96647,                0.58473,                 1.4763,                      1,                0.99767,                  0.995,                0.77599,                 3.3083,                 1.3744,                 4.9372,               0.008812,               0.008812,               0.008812
                     27,                0.95819,                0.59617,                  1.471,                      1,                0.99576,                  0.995,                 0.7989,                 3.2865,                 1.4734,                 5.6623,              0.0087625,              0.0087625,              0.0087625
                     28,                0.95422,                0.58582,                 1.4757,                0.99964,                0.99776,                  0.995,                0.77955,                 3.3216,                 1.1046,                  5.628,               0.008713,               0.008713,               0.008713
                     29,                0.95213,                0.57237,                 1.4718,                0.99726,                 0.9787,                0.99451,                0.75888,                  3.301,                 1.4828,                 5.4792,              0.0086635,              0.0086635,              0.0086635
                     30,                0.95099,                0.57067,                 1.4715,                 0.9991,                0.99776,                  0.995,                0.78203,                 3.3328,                 1.3279,                 5.8793,               0.008614,               0.008614,               0.008614
                     31,                0.93631,                0.57369,                 1.4606,                      1,                0.99654,                  0.995,                0.78187,                 3.3468,                 1.3883,                  5.839,              0.0085645,              0.0085645,              0.0085645
                     32,                0.94348,                 0.5713,                 1.4597,                0.99982,                      1,                  0.995,                0.80223,                 3.2599,                0.98658,                 5.1638,               0.008515,               0.008515,               0.008515
                     33,                 0.9398,                0.56035,                 1.4598,                0.99991,                0.99686,                  0.995,                0.76432,                 3.3049,                 1.2026,                 5.8631,              0.0084655,              0.0084655,              0.0084655
                     34,                0.93541,                0.56702,                  1.456,                      1,                 0.9999,                  0.995,                 0.7835,                 3.2676,                0.93782,                 5.6528,               0.008416,               0.008416,               0.008416
                     35,                0.92488,                0.56548,                 1.4458,                 0.9991,                0.99767,                  0.995,                0.80495,                 3.2422,                 1.2226,                 5.5352,              0.0083665,              0.0083665,              0.0083665
                     36,                0.91821,                0.57042,                 1.4466,                      1,                0.99362,                  0.995,                0.79908,                 3.2946,                 1.0763,                 5.6601,               0.008317,               0.008317,               0.008317
                     37,                0.91958,                0.55737,                 1.4427,                      1,                 0.9995,                  0.995,                0.80629,                 3.2699,                 1.0686,                 6.0377,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.9065,                0.55186,                 1.4327,                0.99994,                0.99866,                  0.995,                0.80851,                 3.2565,                  1.107,                 5.0885,               0.008218,               0.008218,               0.008218
                     39,                  0.903,                0.54795,                 1.4322,                0.99993,                      1,                  0.995,                0.80581,                 3.2921,                0.91203,                 6.1791,              0.0081685,              0.0081685,              0.0081685
                     40,                0.89886,                0.54446,                 1.4293,                 0.9991,                0.99527,                0.99498,                0.76453,                  3.314,                 1.0998,                  5.821,               0.008119,               0.008119,               0.008119
                     41,                0.89939,                0.54565,                 1.4323,                0.99991,                0.99955,                  0.995,                0.82134,                  3.312,                0.95166,                 5.8008,              0.0080695,              0.0080695,              0.0080695
                     42,                0.89279,                 0.5384,                   1.42,                      1,                0.99998,                  0.995,                0.79507,                 3.2358,                0.93767,                 5.7425,                0.00802,                0.00802,                0.00802
                     43,                0.90048,                0.53928,                 1.4334,                0.99997,                      1,                  0.995,                 0.8213,                 3.2308,                0.89089,                 6.2011,              0.0079705,              0.0079705,              0.0079705
                     44,                0.90067,                0.54142,                 1.4293,                      1,                0.99655,                  0.995,                0.76961,                 3.2528,                 1.3091,                 5.5808,               0.007921,               0.007921,               0.007921
                     45,                0.89907,                0.54484,                  1.428,                      1,                0.99992,                  0.995,                0.81726,                 3.2522,                 1.1304,                  5.702,              0.0078715,              0.0078715,              0.0078715
                     46,                0.89054,                0.53845,                 1.4229,                      1,                0.99996,                  0.995,                0.81717,                 3.2879,                0.96915,                 5.6036,               0.007822,               0.007822,               0.007822
                     47,                0.87685,                 0.5302,                 1.4106,                      1,                0.99996,                  0.995,                0.81931,                 3.2411,                 1.0913,                 5.0674,              0.0077725,              0.0077725,              0.0077725
                     48,                0.87898,                0.53708,                 1.4122,                0.99987,                      1,                  0.995,                0.83139,                 3.2333,                 1.0126,                 6.2077,               0.007723,               0.007723,               0.007723
                     49,                0.86389,                0.53158,                 1.3976,                0.99994,                      1,                  0.995,                0.82592,                 3.2239,                 0.9445,                 5.5043,              0.0076735,              0.0076735,              0.0076735
                     50,                0.87338,                0.52854,                 1.4102,                0.99993,                      1,                  0.995,                 0.8181,                 3.2774,                  1.268,                 5.6387,               0.007624,               0.007624,               0.007624
                     51,                0.87135,                0.52155,                 1.3996,                0.99991,                      1,                  0.995,                0.81401,                 3.2938,                 1.0089,                 5.5863,              0.0075745,              0.0075745,              0.0075745
